in s,C1 in V
-2.97728E-05,2.07422E-02
-2.97720E-05,-2.80859E-02
-2.97720E-05,1.21094E-03
-2.97712E-05,-2.80859E-02
-2.97712E-05,-8.55469E-03
-2.97704E-05,-8.55469E-03
-2.97704E-05,2.07422E-02
-2.97696E-05,-1.83203E-02
-2.97696E-05,2.07422E-02
-2.97688E-05,-1.83203E-02
-2.97688E-05,2.07422E-02
-2.97680E-05,-1.83203E-02
-2.97680E-05,2.07422E-02
-2.97672E-05,-1.83203E-02
-2.97672E-05,1.21094E-03
-2.97664E-05,1.21094E-03
-2.97664E-05,1.21094E-03
-2.97656E-05,-2.80859E-02
-2.97656E-05,3.05078E-02
-2.97648E-05,-2.80859E-02
-2.97648E-05,3.05078E-02
-2.97640E-05,-2.80859E-02
-2.97640E-05,1.21094E-03
-2.97632E-05,-8.55469E-03
-2.97632E-05,1.21094E-03
-2.97624E-05,-1.83203E-02
-2.97624E-05,1.09766E-02
-2.97616E-05,-1.83203E-02
-2.97616E-05,1.09766E-02
-2.97608E-05,-8.55469E-03
-2.97608E-05,1.21094E-03
-2.97600E-05,-1.83203E-02
-2.97600E-05,1.21094E-03
-2.97592E-05,-1.83203E-02
-2.97592E-05,1.21094E-03
-2.97584E-05,-8.55469E-03
-2.97584E-05,1.21094E-03
-2.97576E-05,-8.55469E-03
-2.97576E-05,1.09766E-02
-2.97568E-05,-3.78516E-02
-2.97568E-05,1.09766E-02
-2.97560E-05,-3.78516E-02
-2.97560E-05,1.09766E-02
-2.97552E-05,-8.55469E-03
-2.97552E-05,1.09766E-02
-2.97544E-05,-1.83203E-02
-2.97544E-05,1.21094E-03
-2.97536E-05,-2.80859E-02
-2.97536E-05,1.21094E-03
-2.97528E-05,-2.80859E-02
-2.97528E-05,-8.55469E-03
-2.97520E-05,-1.83203E-02
-2.97520E-05,1.21094E-03
-2.97512E-05,-1.83203E-02
-2.97512E-05,1.21094E-03
-2.97504E-05,-1.83203E-02
-2.97504E-05,1.09766E-02
-2.97496E-05,-1.83203E-02
-2.97496E-05,1.09766E-02
-2.97488E-05,-2.80859E-02
-2.97488E-05,1.21094E-03
-2.97480E-05,-2.80859E-02
-2.97480E-05,1.09766E-02
-2.97472E-05,-2.80859E-02
-2.97472E-05,2.07422E-02
-2.97464E-05,-1.83203E-02
-2.97464E-05,2.07422E-02
-2.97456E-05,-1.83203E-02
-2.97456E-05,1.21094E-03
-2.97448E-05,-8.55469E-03
-2.97448E-05,1.21094E-03
-2.97440E-05,-8.55469E-03
-2.97440E-05,1.21094E-03
-2.97432E-05,-8.55469E-03
-2.97432E-05,1.21094E-03
-2.97424E-05,1.21094E-03
-2.97424E-05,1.21094E-03
-2.97416E-05,1.21094E-03
-2.97416E-05,1.09766E-02
-2.97408E-05,-8.55469E-03
-2.97408E-05,1.09766E-02
-2.97400E-05,-8.55469E-03
-2.97400E-05,2.07422E-02
-2.97392E-05,-8.55469E-03
-2.97392E-05,2.07422E-02
-2.97384E-05,-8.55469E-03
-2.97384E-05,1.09766E-02
-2.97376E-05,-1.83203E-02
-2.97376E-05,2.07422E-02
-2.97368E-05,-1.83203E-02
-2.97368E-05,2.07422E-02
-2.97360E-05,-2.80859E-02
-2.97360E-05,1.21094E-03
-2.97352E-05,-2.80859E-02
-2.97352E-05,1.09766E-02
-2.97344E-05,-1.83203E-02
-2.97344E-05,1.09766E-02
-2.97336E-05,-1.83203E-02
-2.97336E-05,1.21094E-03
-2.97328E-05,-1.83203E-02
-2.97328E-05,1.21094E-03
-2.97320E-05,-1.83203E-02
-2.97320E-05,1.09766E-02
-2.97312E-05,-1.83203E-02
-2.97312E-05,1.09766E-02
-2.97304E-05,-1.83203E-02
-2.97304E-05,-8.55469E-03
-2.97296E-05,-1.83203E-02
-2.97296E-05,-8.55469E-03
-2.97288E-05,-8.55469E-03
-2.97288E-05,1.21094E-03
-2.97280E-05,-1.83203E-02
-2.97280E-05,1.21094E-03
-2.97272E-05,-2.80859E-02
-2.97272E-05,1.21094E-03
-2.97264E-05,-2.80859E-02
-2.97264E-05,-8.55469E-03
-2.97256E-05,-1.83203E-02
-2.97256E-05,1.09766E-02
-2.97248E-05,-1.83203E-02
-2.97248E-05,1.09766E-02
-2.97240E-05,-1.83203E-02
-2.97240E-05,-8.55469E-03
-2.97232E-05,-1.83203E-02
-2.97232E-05,1.21094E-03
-2.97224E-05,-2.80859E-02
-2.97224E-05,1.21094E-03
-2.97216E-05,-2.80859E-02
-2.97216E-05,1.21094E-03
-2.97208E-05,-8.55469E-03
-2.97208E-05,-8.55469E-03
-2.97200E-05,-8.55469E-03
-2.97200E-05,1.21094E-03
-2.97192E-05,-2.80859E-02
-2.97192E-05,1.21094E-03
-2.97184E-05,-2.80859E-02
-2.97184E-05,1.09766E-02
-2.97176E-05,-8.55469E-03
-2.97176E-05,1.09766E-02
