time (s),C1 (V)
-1.00E-06,1.18359E-02
-1.00E-06,1.18359E-02
-1.00E-06,-7.70E-03
-1.00E-06,1.18359E-02
-1.00E-06,5.08984E-02
-1.00E-06,-7.70E-03
-1.00E-06,1.18359E-02
-1.00E-06,-7.70E-03
-1.00E-06,2.07031E-03
-9.99E-07,4.11328E-02
-9.99E-07,3.13672E-02
-9.98E-07,2.07031E-03
-9.98E-07,1.18359E-02
-9.98E-07,-7.70E-03
-9.97E-07,-7.70E-03
-9.97E-07,2.16016E-02
-9.96E-07,1.18359E-02
-9.96E-07,2.07031E-03
-9.96E-07,1.18359E-02
-9.95E-07,1.18359E-02
-9.95E-07,1.18359E-02
-9.94E-07,-7.70E-03
-9.94E-07,-1.75E-02
-9.94E-07,-7.70E-03
-9.93E-07,2.07031E-03
-9.93E-07,2.07031E-03
-9.92E-07,2.16016E-02
-9.92E-07,2.07031E-03
-9.92E-07,2.16016E-02
-9.91E-07,1.18359E-02
-9.91E-07,4.11328E-02
-9.90E-07,3.13672E-02
-9.90E-07,3.13672E-02
-9.90E-07,-1.75E-02
-9.89E-07,2.07031E-03
-9.89E-07,4.11328E-02
-9.88E-07,1.18359E-02
-9.88E-07,2.16016E-02
-9.88E-07,2.07031E-03
-9.87E-07,-7.70E-03
-9.87E-07,1.18359E-02
-9.86E-07,1.18359E-02
-9.86E-07,1.18359E-02
-9.86E-07,1.18359E-02
-9.85E-07,1.18359E-02
-9.85E-07,5.08984E-02
-9.84E-07,3.13672E-02
-9.84E-07,4.11328E-02
-9.84E-07,4.11328E-02
-9.83E-07,2.16016E-02
-9.83E-07,2.16016E-02
-9.82E-07,1.18359E-02
-9.82E-07,-1.75E-02
-9.82E-07,2.16016E-02
-9.81E-07,1.18359E-02
-9.81E-07,2.07031E-03
-9.80E-07,-7.70E-03
-9.80E-07,-7.70E-03
-9.80E-07,-1.75E-02
-9.79E-07,4.11328E-02
-9.79E-07,3.13672E-02
-9.78E-07,1.18359E-02
-9.78E-07,1.18359E-02
-9.78E-07,2.16016E-02
-9.77E-07,1.18359E-02
-9.77E-07,2.16016E-02
-9.76E-07,1.18359E-02
-9.76E-07,2.07031E-03
-9.76E-07,-1.75E-02
-9.75E-07,2.16016E-02
-9.75E-07,2.07031E-03
-9.74E-07,-7.70E-03
-9.74E-07,1.18359E-02
-9.74E-07,-1.75E-02
-9.73E-07,3.13672E-02
-9.73E-07,1.18359E-02
-9.72E-07,4.11328E-02
-9.72E-07,1.18359E-02
-9.72E-07,-1.75E-02
-9.71E-07,1.18359E-02
-9.71E-07,3.13672E-02
-9.70E-07,1.18359E-02
-9.70E-07,1.18359E-02
-9.70E-07,2.16016E-02
-9.69E-07,2.16016E-02
-9.69E-07,1.18359E-02
-9.68E-07,-7.70E-03
-9.68E-07,2.07031E-03
-9.68E-07,3.13672E-02
-9.67E-07,1.18359E-02
-9.67E-07,2.16016E-02
-9.66E-07,2.07031E-03
-9.66E-07,2.16016E-02
-9.66E-07,-7.70E-03
-9.65E-07,3.13672E-02
-9.65E-07,1.18359E-02
-9.64E-07,2.16016E-02
-9.64E-07,2.07031E-03
-9.64E-07,-7.70E-03
